id,PM1,PM10,PM2_5,CH4,H2S,CO,flamGas
175,2,3,1,4,5,6,7
176,1,2,0,3,4,5,6
177,19,34,24,0,0,0,0
178,19,34,24,0,0,0,0
179,19,34,24,0,0,0,0
180,18,33,23,0,0,0,0
181,18,33,23,0,0,0,0
182,18,33,23,0,0,0,0
183,18,33,23,0,0,0,0
184,18,33,23,0,0,0,0
185,18,33,23,0,0,0,0
186,16,29,20,0,0,0,0
187,16,29,20,0,0,0,0
188,16,29,20,0,0,0,0
189,16,29,20,0,0,0,0
190,16,29,20,0,0,0,0
191,18,33,23,0,0,0,0
192,18,33,23,0,0,0,0
193,18,33,23,0,0,0,0
194,18,33,23,0,0,0,0
195,18,33,23,0,0,0,0
196,18,33,23,0,0,0,0
197,18,33,23,0,0,0,0
198,18,33,23,0,0,0,0
199,18,33,23,0,0,0,0
200,17,31,22,0,0,0,0
201,17,31,22,0,0,0,0
202,17,31,22,0,0,0,0
203,18,33,23,0,0,0,0
204,18,33,23,0,0,0,0
205,18,33,23,0,0,0,0
206,18,33,23,0,0,0,0
207,18,33,23,0,0,0,0
208,19,34,24,0,0,0,0
209,19,34,24,0,0,0,0
210,19,34,24,0,0,0,0
211,19,34,24,0,0,0,0
212,17,31,22,0,0,0,0
213,17,31,22,0,0,0,0
214,17,31,22,0,0,0,0
215,17,31,22,0,0,0,0
216,17,31,22,0,0,0,0
217,18,33,23,0,0,0,0
218,18,33,23,0,0,0,0
219,18,33,23,0,0,0,0
220,18,33,23,0,0,0,0
221,18,33,23,0,0,0,0
222,18,33,23,0,0,0,0
223,18,33,23,0,0,0,0
224,18,33,23,0,0,0,0
225,18,33,23,0,0,0,0
226,17,31,22,0,0,0,0
227,18,33,23,0,0,0,0
228,18,33,23,0,0,0,0
229,17,31,22,0,0,0,0
230,17,31,22,0,0,0,0
231,17,31,22,0,0,0,0
232,17,31,22,0,0,0,0
233,17,31,22,0,0,0,0
234,17,31,22,0,0,0,0
235,18,33,23,0,0,0,0
236,18,33,23,0,0,0,0
237,17,31,22,0,0,0,0
238,17,31,22,0,0,0,0
239,17,31,22,0,0,0,0
240,18,33,23,0,0,0,0
241,18,33,23,0,0,0,0
242,17,31,22,0,0,0,0
243,17,31,22,0,0,0,0
244,18,33,23,0,0,0,0
245,18,33,23,0,0,0,0
246,18,33,23,0,0,0,0
247,18,33,23,0,0,0,0
248,18,33,23,0,0,0,0
249,18,33,23,0,0,0,0
250,18,33,23,0,0,0,0
251,18,33,23,0,0,0,0
252,18,33,23,0,0,0,0
253,17,31,22,0,0,0,0
254,17,31,22,0,0,0,0
255,18,33,23,0,0,0,0
256,17,31,22,0,0,0,0
257,17,31,22,0,0,0,0
258,18,33,23,0,0,0,0
259,17,31,22,0,0,0,0
260,19,34,24,0,0,0,0
261,19,34,24,0,0,0,0
262,19,34,24,0,0,0,0
263,19,34,24,0,0,0,0
264,19,34,24,0,0,0,0
265,18,33,23,0,0,0,0
266,18,33,23,0,0,0,0
267,18,33,23,0,0,0,0
268,18,33,23,0,0,0,0
269,18,33,23,0,0,0,0
270,18,33,23,0,0,0,0
271,17,31,22,0,0,0,0
272,17,31,22,0,0,0,0
273,17,31,22,0,0,0,0
274,17,31,22,0,0,0,0
275,17,31,22,0,0,0,0
276,17,31,22,0,0,0,0
277,17,31,22,0,0,0,0
278,17,31,22,0,0,0,0
279,18,33,23,0,0,0,0
280,18,33,23,0,0,0,0
281,18,33,23,0,0,0,0
282,17,31,22,0,0,0,0
283,17,31,22,0,0,0,0
284,17,31,22,0,0,0,0
285,17,31,22,0,0,0,0
286,17,31,22,0,0,0,0
287,17,31,22,0,0,0,0
288,17,31,22,0,0,0,0
289,17,31,22,0,0,0,0
290,17,31,22,0,0,0,0
291,17,31,22,0,0,0,0
292,18,33,23,0,0,0,0
293,18,33,23,0,0,0,0
294,18,33,23,0,0,0,0
295,18,33,23,0,0,0,0
296,18,33,23,0,0,0,0
297,16,29,20,0,0,0,0
298,16,29,20,0,0,0,0
299,16,29,20,0,0,0,0
300,16,29,20,0,0,0,0
301,16,29,20,0,0,0,0
302,17,31,22,0,0,0,0
303,17,31,22,0,0,0,0
304,17,31,22,0,0,0,0
305,18,33,23,0,0,0,0
306,18,33,23,0,0,0,0
307,18,33,23,0,0,0,0
308,18,33,23,0,0,0,0
309,18,33,23,0,0,0,0
310,19,34,24,0,0,0,0
311,19,34,24,0,0,0,0
312,19,34,24,0,0,0,0
313,19,34,24,0,0,0,0
314,19,34,24,0,0,0,0
315,18,33,23,0,0,0,0
316,18,33,23,0,0,0,0
317,18,33,23,0,0,0,0
318,18,33,23,0,0,0,0
319,18,33,23,0,0,0,0
320,16,29,20,0,0,0,0
321,16,29,20,0,0,0,0
322,16,29,20,0,0,0,0
323,16,29,20,0,0,0,0
324,17,31,22,0,0,0,0
325,17,31,22,0,0,0,0
326,17,31,22,0,0,0,0
327,17,31,22,0,0,0,0
328,17,31,22,0,0,0,0
329,18,33,23,0,0,0,0
330,18,33,23,0,0,0,0
331,18,33,23,0,0,0,0
332,18,33,23,0,0,0,0
333,18,33,23,0,0,0,0
334,18,33,23,0,0,0,0
335,18,33,23,0,0,0,0
336,18,33,23,0,0,0,0
337,18,33,23,0,0,0,0
338,17,31,22,0,0,0,0
339,17,31,22,0,0,0,0
340,17,31,22,0,0,0,0
341,17,31,22,0,0,0,0
342,17,31,22,0,0,0,0
343,17,31,22,0,0,0,0
344,17,31,22,0,0,0,0
345,17,31,22,0,0,0,0
346,17,31,22,0,0,0,0
347,17,31,22,0,0,0,0
348,17,31,22,0,0,0,0
349,17,31,22,0,0,0,0
350,17,31,22,0,0,0,0
351,17,31,22,0,0,0,0
352,17,31,22,0,0,0,0
353,17,31,22,0,0,0,0
354,17,31,22,0,0,0,0
355,16,29,20,0,0,0,0
356,16,29,20,0,0,0,0
357,16,29,20,0,0,0,0
358,16,29,20,0,0,0,0
